content,sentiment
i feel utterly dismayed that our favourite lloyd grossman product has been ditched,sadness
i am bogged down by the feelings of being unloved it only ends up making me feel worthy of love that is being showered upon me how can i feel the love and joy if i feel deep within me unworthy,sadness
i feel louis vuitton took it up to the court and now on for instance ebay you cannot buy fake lv anymore well not on purpose that is,sadness
ive tried and tried and every single person i hang out with i just feel like everything about it is fake,sadness
im stuck feeling hopeless at this time,sadness
i feel horrible about wanting sonipro amp source geekparty linkedin a target blank title share on tumblr rel nofollow href http www,sadness
i tell my a little how much i hate feeling needy how i hate that moment when i know ive become too attached in my own head,sadness
i feel like ive hated on this series a lot since ive started blogging so a little honesty is in order,sadness
ive always been a giver not a taker i feel selfish in considering this idea,anger
i am left feeling numb and shaky,sadness
i could continue feeling awful and crying to all my friends and focus on how wronged i had been and end up feeling worse,sadness
i feel humiliated i choose to believe that somehow janis sanders will see these words and know that he cannot get away with abusing others,sadness
i feel as if i am completely worthless,sadness
i feel remorseful but i am not ready to die and i do not look in the mirror,sadness
i definetly need both as i have been feeling quite lethargic,sadness
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger
i don t fit in and never will despite the fact if you gave me the option i would still choose to be an outsider and combined with the lack of creativity and originality and dare i say it the utter conformity of the student body it just makes me feel depressed,sadness
i feel unpleasant time is long,sadness
i dont know if its easier to have a mental illness or watch someone you love battle with it but today i think the hardest thing is feeling helpless to stop it,sadness
i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger
i did feel a little lighter in spirit now that i knew that neither he nor warrick despised me for my incredible naivety and stupidity,anger
i liked the ending but i did feel like it was a little bit rushed,anger
i was feeling pretty low about that but joan saw my disappointment and lifted my spirit with corinthians,sadness
i couldnt help feeling a little envious of what treats the body power people might have in store for them demonstrations of super strength perfect specimens glistening with accentuating oil exercise gear to be seen in,anger
i feel troubled and also terrified your minute my partner and i view hundreds of white jackets and obtain caught from the surgeons evaluating area sterile and clean smelling and brimming with numerous devices,sadness
i hide this secret inside of me away from everyone because i feel ashamed and like i have no assistance in making it better,sadness
i feel greedy about wanting to see this film series continue,anger
i have to admit that i feel a little irate as well but its under control,anger
i dont have a yeast infection in the vagina i could be feeling irritated by yeast due to my diet so i should stop eating lots of sugary foods if i can,anger
i cant help but feel that if i hadnt had been so selfish then i could have sheltered you from feeling this way now,anger
i have swung between feeling resentful that others need me to feeling ashamed and angry that i am not more with it and able to be a better daughter sister friend citizen,anger
i was years old at one time knowing my dad wasnt coming home and its the worst feeling i have ever felt and ive hated you since and it wont ever change,anger
i would feel very ungrateful if i didnt thank you all and you know who you are,sadness
i feel like that when i try to try on relationship traditions that i and the people i care about get damaged,sadness
i would like to experience but i just wished to depart from the others to lay down and relieve myself from this odd sense of nausea and avoid having to make anyone feel bad about having brought up the restaurant in the first place,sadness
i start feeling crappy i just have to toss this on and bam i am singing and dancing and shimmy ing my shoulders just like whitney,sadness
i even feel that he is still feel gloomy and moody till now,sadness
i am feeling a tad lonely about his absence now,sadness
i just feel resentful and show my resentment by eating tempura and sundaes,anger
i get the feeling this miserable narrator is pining for an ex lover dreaming of her return and wonders whether he should unlock his door in case she should come this way and in and have a drink and dancing,sadness
i didnt feel any tragic estrangement between superman and his family perhaps because of the playing perhaps because unlike batman he already had one,sadness
i feel the cold more than him,anger
i admittedly feel like crap and want to sleep all day and am so cranky i just want to yell at everyone,anger
i feel gloomy and i desperately seek affection,sadness
i find is that these things are effecting loved ones who i love dearly so i feel so so helpless so what is the remedy for the hard times,sadness
i remember feeling annoyed but also wondering if i shouldn t stop and buy something,anger
im feeling slightly empty right now as if i want to reach out my hand for someone anyone to hold,sadness
i don t talk about it a lot but a majority of my time is spent at work and at work i m feeling generally unhappy lonely frustrated and even a little bitter from past events that just won t go away,sadness
i think i have made it known how i feel about cold weather we are not friends i am ready for winter to be finished please please be finished,anger
i get into conversations and regret them and start to feel exhausted after fifteen minutes of something that sounds like something but feels like it is only peas and carrots peas and carrots mush mush mush,sadness
i was feeling awful because it felt like i was pushing really hard to maintain the pace which sounded really slow,sadness
i always feel a little ashamed of my american history knowledge so i like to learn more when i can,sadness
i was challenged by the clip where richard gere gives julia roberts money to buy some pretty clothes she walks into an expensive boutique in her work clothes and the condescending staff refuse to serve her and leave her feeling humiliated,sadness
i felt lost and half of the time now i feel just numb,sadness
i feel less burdened in a way,sadness
i feel guilty that i dont have the need to constantly check in on her,sadness
i may feel a bit gloomy,sadness
i personally feel that every rapist should be punished rigorously if not hanged,sadness
i feel terrible but i can t even remember all the girls that came to pray with me last night,sadness
i feel that i was damaged by gt gt gt religion and i will not let that happen to any children of mine,sadness
i spent all of wednesday feeling miserable,sadness
i am so sick of feeling worthless and useless and miserable,sadness
i feel so disheartened now,sadness
i got shots from as many likely angles as i could feeling like a moronic tourist but deciding not to care,sadness
i ran despite feeling rotten and i m glad i did as well as i did but i really want to do better,sadness
i can assume they are not feeling the cold like i am their water is not frozen they have plenty of feed though they eschew this in favor of foraging and scratch,anger
i feel like a total bitchy person today yay,anger
i feel the palate jaded types take on natural wine and lighter styles as a messianic quest to reveal the true nature of great wine,sadness
i feel a little tortured and lost,anger
i dont know why but every time i feel like i am doing someone a favor all the time i start to feel burdened and stressed by that,sadness
i have been wanting to write about a secret life i live one that only a handful of people know about one i keep secret and one that i feel embarrassed about even though i know it is perfectly human normal and deep down i feel it is right,sadness
at one of my close friends saying she didnt like the way i am nice to people i dont know,anger
i would feel resentful toward patrick because i couldnt read avery her nightly books with just her and me,anger
im feeling regretful tonight too,sadness
i have just been wandering around santa cruz and thinking about this being the last time in a while that i m seeing all those meaningful streets squares shops caf s where i have spent so much time with my friends makes me feel almost heartbroken,sadness
i hope that i soon wont feel like a stupid slut,sadness
i feel in my heart and definately in my idiotic mind,sadness
im feeling pretty depressed and i think its spiraling,sadness
i have agonised over writing a review for this book my words just dont seem to flow i feel somehow inadequate for this task,sadness
i am heavy and i feel dull all over i think i ve stopped breathing,sadness
i feel defeated loss and confused,sadness
im feeling particularly sentimental or what have you i go into a bookstore where my books are sold and i pace out the distance between where my books are displayed and where his are on the shelf,sadness
i feel sorry for my subjects and tend to let go too soon,sadness
i get what she s saying and i feel somewhat remorseful for not being the kind of friend or giving the kind of support she wanted or needed throughout the past years of our friendship oh yes it goes back that far,sadness
i think this is the last week of softball and im likely going to suck it up and at least try to play but i feel absolutely rotten going to see what some aggressive hydration does,sadness
im feeling very listless,sadness
i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi,anger
i feel heartbroken one middle aged woman told pyongyang s state run media,sadness
i notice enjoyable moments are even more enjoyable because i recognize how far the feelings i get are from the horrible sensation i get when something bad happens,sadness
i want her to feel humiliated and guilty,sadness
i feel like i am being one person whom his life will be very miserable and not doing the best,sadness
i feel like im taking care of a needy puppy not living with a mother,sadness
im feeling annoyed to add on i dont feel important or whatever shit anymore,anger
i feel very annoyed with this kind of people who comment and try to be so philosophy on their religion,anger
im feeling a little melancholy tonight kinda like the paint on this door,sadness
i know luh feeling damn awkward can,sadness
i feel at ease in those moments but the last few nights have been troubled,sadness
i think came from the weird catholic way we d been raised to feel ashamed about sex,sadness
i am speaking for myself right now but i know there are a lot of people who feel drained because of that non closure that occurs when we never get to be done with something,sadness
i feel fucked church of fuck luminaries swinelord are back with a deluxe r,anger
i feel dull many of a time headache many of time insomnia,sadness
i feel less shitty,sadness
i didn t want to do too much and then leave it feeling awkward at times,sadness
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,anger
i often feel disappointed in my decisions and who i am and call myself names,sadness
i just feel so listless,sadness
a gigantic spider climbed over my face and what is more in my own flat,anger
i always feel the need to break awkward silences which makes it even more awkward,sadness
im feeling really stressed today about the state of the house,sadness
i feel like the awkward outsider and start to feel homesick,sadness
i don t really feel all that bothered by it to be honest,anger
i do this because the worse they are the more justified i feel a needy man on the street suddenly represents a threat to my very peace and freedom,sadness
i still feel terribly devastated,sadness
i need to get back to work rewriting an introduction i feel woeful inadequate in writing ill make this short,sadness
i guess you could say i am teeter totering right now on the edge and i feel like im dangerous,anger
i feel like ya maybe i am dumb weird and strange,sadness
i no longer have that angst inside me the kind of yelping passion and feeling of being wronged or what have you that drove my initial connection to emo,anger
i to feel unloved when hes god and he has the choice to do whatever he wantd,sadness
i think it is common to feel helpless at times like this,sadness
i feel like if i was here long enough i would have my emotions back b c i could either be so stressed out by the people that i cant hide my emotions or that i would have my support back and feeling would be safe again esp without uw school work,anger
i feel so empty a href http uwilnevrknow,sadness
i feel i can never thank you enough for helping this girl with a troubled past become who she is today,sadness
i knew it would feel empty and there would be the potential to feel like i wasnt doing well as i wasnt passing folks,sadness
i admit i was feeling agitated so when hubby asked me if i want to join them for a drink i agreed,anger
i feel so fucking lame saying that however immature it may be something that i just imagine have imagined all this time,sadness
i love my tango family sometimes especially when i m feeling ugly and awkward and like an outsider i need something from tango that i can t get when i know everyone at the milonga,sadness
i guess when you are constantly feeling unhappy around the person it is a sign to you to remove this person from your life,sadness
i find myself feeling irritable or depleted i run through a mental checklist have i worked out,anger
i am feeling quite weepy can you get rid of them and she did,sadness
i was snapping at everybody and feeling very grumpy in general,anger
i feel it looks abit dull and i am going to match the colours with the colours i am going to put on my final cover which i think will be white black and either red or blue,sadness
i guess the mild pain had made me feel even more impatient to just get on with it,anger
i starred into susan s gaping cum filled ring i could feel my own cock hardening in the vain hope of fucking this goddess myself but that would have to wait another day,sadness
i feel isolated because im not much for driving on bad roads,sadness
i feel and i dont need some dumb reason to legitimize or excuse the way im feeling,sadness
i feel burdened and guilted by the weight of a decision gone bad,sadness
im down to blogging again simply because im feeling very distracted though im suppose to study cell bio now,anger
i feel about this band perhaps i m too distracted by the hardcore dancers flailing around,anger
i potter around my one bed flat i feel a little bit more like an unfortunate version of bridget jones,sadness
i get more upset when bruce is a little more tired from work than usual i feel a little rejected,sadness
im feeling low i usually just want to lay in bed and do nothing,sadness
i know that there will be days that i am going to feel discouraged,sadness
i am going to feel annoyed with myself,anger
i still feel really regretful for leaving,sadness
i could listen to those words and suddenly not feel so incredibly helpless,sadness
i feel studying and doing homework again after weeks of holidays target blank img title stumbleupon class ssba alt stumbleupon src http www,sadness
i guess what i m trying to say is that i have no abusive boyfriends no crushing of dreams no loss of jobs no real reason to feel depressed but i am,sadness
i couldnt get to sleep i was feeling quite irritable and restless and every time i was dropping off to sleep a mosquito would land on my face or squeal around my ear,anger
i feed him and how strongly i feel about not feeding him crappy processed dog food because i want him to live forever,sadness
i love this projector it is old it has an old smell to it not displeasing just old and slightly musty it is from the early s i feel like i am in my own little episode of mad men when we set it up to watch something on it,anger
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
i feel that should hurt more than is does she grimaced,sadness
i feel like people have shamed me for being so,sadness
im feeling pissed and sad right now,anger
i feel so worthless beaten and broken,sadness
i feel like it dirty src http i,sadness
i feel completely listless running on auto,sadness
i feel like i have been quite neglectful to my blog and am just to say that we are here alive and happy,sadness
i feel its my job to let you know when you might have missed another holiday,sadness
i feel exhausted after i am done reading its like i live multiple lives all at once in the span of a day,sadness
i can write about it in my journal or something i am good at keeping a secret from the world no it depresses me and although i feel idiotic happiuness is bliss i watch the news,sadness
i may rant but i don t feel burdened in the least bit,sadness
i was the one who was bearing all the pain and anguish yet why was it that i was the one that continues to feel the hurt while the ass is still gallivanting and showing off,sadness
i can still feel all my muscles aching,sadness
i was going to say that it makes me feel all unloved and shit but thats just me being overly dramatic,sadness
i figured out why i feel so crappy and so now i don t feel so crappy because a lot of feeling crappy comes from trying to figure out why certain negative emotions exist especially when my life is pretty damn good most of the time ya,sadness
i feel burdened a href http scratcheverything,sadness
i feel less stressed and at the end of the day usually discover that ive done more,sadness
i tend to have a discomforting feeling or maybe get disturbed but that sense of emotion only plays out the way the book is being interpreted,sadness
i feel blackburn will be a stubborn team against blackpool and holloway will want a positive reaction in this game even if they don get a result,anger
i should be rushing around packing my kit ready to fly out to gambia on tuesday but instead i am sat here feeling rather melancholy after an emotional supping a small well fairly small,sadness
i left you i was feeling pretty defeated,sadness
i get another call from a frantic junior for my file and i obviously refused ta help her and now im feeling like i was too rude i mean i jz went like yeah sorry i just dont do that,anger
i feel rebellious and think let them do so,anger
i feel like on my ugly days or ugly phases as i call them i m not just unattractive but that i m unattractive in an odd way,sadness
i feel not offended in any form and should not make this big and in the end it doesnt bother me at all but ive learned to show some balls in the past and say what i think not anonymous so if we would give some weight to the content of these comments there would be the questions what is behind it,anger
i sure hope it helps im tired of feeling so lousy,sadness
i came out of there feeling so abused,sadness
i feel more stressed than ever,sadness
i feel like i do a crappy job at giving back from this angle due to my own racing and training schedule,sadness
i feel those feelings coming back all those hateful jealous paranoid feelings that used to torture me relentlessly,anger
i guess that s where the phrase down in the dumps comes from try this think of something that is mildly upsetting for you some sort of negative emotion perhaps you were stuck in traffic or there was something on the news this morning that made you feel a bit grumpy,anger
i mean i care very much for my family that s going through these things but it was becoming something that was making me feel almost morose,sadness
i feel depressed i will sing,sadness
i feel though its pretty dangerous to to apply one strategy to match,anger
i feel ashamed when i log out and leave these problems behind,sadness
i am a celebrity or politician i can hire a bodyguard who carries a gun and i don t have to apologize explain or feel embarrassed about this choice,sadness
i spray it all over my body during afternoons to beat the heat because its refreshing doesnt sting unlike regular baby colognes and the fresh scent is very energizing just the thing i need to keep me from feeling drained and lazy in this intense heat,sadness
i remember feeling dismayed from this observation,sadness
i do know im feeling times more guilty,sadness
i was feeling a bit homesick so i made a last minute trip over to broomfield the weekend of the th to the nd,sadness
i play it i have more different feelings around a cold grim back drop,anger
i could feel it but it didnt hurt,sadness
i feel cranky and annoyed when i dont,anger
i was a touch pissed off that janine appears to have totally forgotten my birthday i feel a sarcastic comment in her card next week to make up for it,anger
i will state right now that i feel strongly that someone should be punished for the hurt that was inflicted on him,sadness
i wake up its the uncomfortable feeling i have that i was just mentally abused by my own thoughts and i can t for the life of me remember why and then when i do remember why i honestly wish i hadn t,sadness
i tend not to want to cook if i feel grumpy or tired or just stressed,anger
i seek the presence of people of conscience and i feel around me the optimism of youth with its stubborn refusal to accept a fate forced upon it,anger
i feel numb jun nd,sadness
i want to be to be worthy of them especially when i m feeling the sarcastic crone,anger
ive noticed this week that im not the only one who struggles with feeling a little depressed after mothers day,sadness
i am just remembering it now and i should have told him it was birthday but i am such a selfish idiot and was feeling jealous of all the people who met nao,anger
i presented old work which made me feel guilty,sadness
i feel so fucked up these days,anger
i hate feeling so fucked up all the time because of this,anger
i dont know if i feel this way because i live in la and id rather be somewhere else or if its because im stressed about money work or if im just in need of a hug,sadness
i could feel how exhausted my arms and legs were,sadness
i feel rejected like my peers dont really understand me and as a result arguments ensue,sadness
i feel so dull and such an idiot,sadness
i was in a dark moment of my life at that precise moment so each time i read her stuff the fleeting feeling of empathy for her and her triumphs was quickly succeeded by bitterness and guilty resentment towards her,sadness
i feel terrible about that,sadness
i stand by that he is actually annoying giggle i also acknowledge that i have been feeling very dissatisfied,anger
i feel sad for that after all,sadness
i like to buck the system and climb on my soapbox when i feel wronged or see others wronged but for the most part i am more comfortable with a society that accepts certain behaviors as moral truths,anger
i read that men would rather feel unloved than inadequate or disrespected,sadness
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger
i am starting to feel like a worthless person,sadness
i dont have a solid reason for beginning self harm it was a number of things really but i just had these feelings of being worthless that no one would ever like me that i was ugly that i didnt fit in that i was horrible,sadness
i read the ny times i feel very inadequate,sadness
i will not say that those hopes were dashed because i did truly enjoy the movie but i did leave feeling disappointed,sadness
im feeling a bit gloomy and blah today so this a href http lunajubilee,sadness
i feel insulted video pete edochie responds to death hoax i feel insulted a href http olajideolafunmbi,anger
i feel like i ve been distracted all day or i ve been dealing more with fiddly necessities than actual creative work then i ll feel like the day s been wasted,anger
i make my intentions known here i feel rotten if i dont go,sadness
i feel like a deprived kid,sadness
i feel like everything is just so fucked,anger
i shouldve stopped feeling envious she has her own life i knew it but its still so hard,anger
ive been kicked in the stomach by the eating disorder so many times that i feel kind of numb,sadness
i used to always throw out twd as an example of dual excellence whenever anyone would defend some tedious issue superhero story but recently i feel like the single issues are suffering a bit,sadness
i were to create a piece similar to this again i would improve on it by spending more time on the background as i feel i rushed this and it could have been more detailed,anger
i bet you are feeling really mad and hurt,anger
im just being straightforward theyd feel hurt,sadness
i feel useless and gross and cant seem to find one positive thing about myself,sadness
i feel distracted or scattered i take a few moments to close my eyes and just breathe,anger
i was down feeling greedy and depressed,anger
i mean weve been friends for a long time and these things are not new to me but right now it feels like all i ever want to do is just roll my eyes at everything you say and tell you how obnoxious youre being,anger
i feel its gonna be months after days ever since you broke up with me,sadness
i am skinny look at me i am thin i love myself but i am feeling ignored i am thinner now i try to disappear,sadness
i am remembering your touch feeling your fingers caress my aching palms,sadness
i have a reminder of the joy and peace i feel in his arms i am tortured,anger
i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs,anger
i feel like i am being punished for the choices i made in the past,sadness
i feel like my last two classes i didnt simplify instruction enough or do enough of a demonstration because i had many students with blank stares or not applying themselves in the projects,sadness
i walk out of the studio feeling exhausted soaking wet with sweat and with a startling clarity of focus and quiet inside,sadness
i feel equally wronged,anger
i still feel dissatisfied,anger
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger
i feel pretty pathetic right now,sadness
i was feeling too agitated to read and it was too hot out to walk,anger
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,anger
i don t feel hopeless or depressed,sadness
i feel rotten all week because i hardly ever see you that s why i wrote this hopeless song i ve never been in love with a girl like you before darling come with me such a wonderful thing has never happened to me before you re the only one who touched my heart it s all a question of courage,sadness
i feel this blank in my mind is stopping me from breaking under this weight,sadness
i go with their flow i always feel shitty so i do what fits me best,sadness
i feel like the truth is that to him it just wasnt working out he lost patience with me and he felt he would be better off by not trying to please me,sadness
i never knew it hurt his feelings i just thought he was being sarcastic in return,anger
i feel annoyed but its because im afraid i wont be able to speak well just like them,anger
i feel resentful about my education rel bookmark why i feel resentful about my education a class entry author href http liveagainsttheflow,anger
i feeling so shitty today then,sadness
i want to do is sleep and i feel so bad for the boy,sadness
i feel a little foolish for ever having left duluth,sadness
i am not even italian but i feel outraged by the stupidity of ppl on this blog,anger
i feel so completely and totally drained,sadness
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
i should welcome feeling those that have gone before me i almost feel doomed by it,sadness
i try not to care when hes with his party friends especially since he doesnt usually take me and i feel like hes embarrassed of me or doesnt want to deal with me on his night of fun and glory of being cool,sadness
i feel like a distracted robot,anger
i scanned through several old blog posts and i could still feel the hurt from them,sadness
i feel isolated unnatural yeah i feel tense unnatural yeah i feel uncaring unnatural,sadness
i need to do everything i can to push away the boundaries i feel listless and overwhelmed,sadness
i posted this lovely picture on instagram and was feeling slightly rebellious walking on that plane feeling,anger
i feel pathetic encased in stiff and unused limbs my mind plateaus and dreams of beyond,sadness
i feel that such knowledge would be abused,sadness
i feel thoroughly rotten,sadness
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,anger
i am the one feeling punished,sadness
i am pretty sure they took the two most horribly sounding words and stuck them together so fat people would feel shamed for being fat,sadness
i feel helpless to overcome the voice that is telling me consistently and firmly that i look disgusting and huge,sadness
i guess she didnt feel the need to rescue her son from the vicious man eaters,anger
im feeling very frustrated with my novel in progress right now and i cant even decide why,anger
i did this especially feels strongly at the moment with gina who just died but had as fucked up as a family as you could ever imagine and wrote me letters during my misgivings and insecure times about how my love was enough,anger
i almost feel hated by everyone,anger
i am not working i can cope with but days like today when i am i just feel awful,sadness
i got a bad feeling ryodan doesn t plan to leave me alone in there too long with all those computers,sadness
i have yet to meet a cancer patient who does not feel burdened by some poor self image unresolved conflict and worries or past emotional trauma that still lingers in his subconscious,sadness
i feel and oh how my heart broke,sadness
i was tired of feeling hurt,sadness
i wish crushing on somebody was so much easier i dislike being the emotional one i hate being the one that feels needy but i am here craving her attention and im just trying to ignore it,sadness
at a certain situation i felt myself neglected and undeservedly harmed,anger
i think its just a subconscious acknowledgement about my feelings towards eddie eg ignored,sadness
i feel that i am just so unimportant in this life,sadness
i feel like my heart broke telling my children a href http twitter,sadness
im feeling all kinds of conflicted about the bit with his rather violent reaction towards the paparazzi over that zq jcho cpine lunch,anger
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger
i feel they are the last of the tortured fandoms remaining save saints football fans but thats the wrong sport,anger
i have to mention that i feel slightly unhappy because i have yet to get back any of my prelim papers maths aside and because of that ive been feeling stuck in limbo for the last weeks because i cant really start studying properly until i get back my papers,sadness
i am feeling so grumpy today,anger
i often used the word poggy when we were growing up together when we were feeling particularly ugly or generally not very good those days when all you want to do is stay in bed and hide from the outside world,sadness
i am feeling rebellious which is often i suppose,anger
ive feeling a bit morose as of late,sadness
i feel like my brain is going to expload and its going to be messy and painful,sadness
i am feeling unhappy and weird,sadness
i guess thats why i bought some black nail varnish cos i was feeling rebellious,anger
i feel as though im becoming jaded to the point of numbness,sadness
i feel a little calmer im more irritable and impatient than before,anger
i have a feeling we ll see the aftermath of laura and gilbert a target blank href http theybf,sadness
i hope i did not make you feel greedy o shit i hope i did not make you feel greedy or whore like sniiiiifff honey i was just trying to make you feel loved and happy,anger
i didnt feel the stress i was under at telstra was worth it and with out thinking i just resigned,sadness
i have trouble in early afternoon and in the evening with feeling lethargic and pessimistic so i save it for then,sadness
im feeling a tad rebellious right now,anger
i glanced out the window at the people strolling on the sidewalks carefree suddenly feeling envious of them for reasons i couldn t explain,anger
i feel a bit dissatisfied with my current network,anger
i feel troubled deciding whether to go to this hot pot thing at pm or not,sadness
im so happy that he loves my husband and feels that he doesnt need to worry about this troubled girl anymore,sadness
i could easily describe this transformed feeling as hopeless but it was an anesthetized type of hopelessness,sadness
i feel so much pain inside for their aching hearts,sadness
i feel disheartened about that,sadness
i cant even pay attention because i feel so lame watching it,sadness
i feel lame for not posting the recipe but mi madre is protective of em and i respect that,sadness
i feel like i do not have an awful lot of insights to share yet i find it difficult to know where to start,sadness
i would feel drained after my workouts but that to be expected after any workout at least in my experience,sadness
i feel somewhat jaded and tired of having this discussion,sadness
i remembered feeling unwelcome feeling like nobody wanted me there and the feeling was terribly familiar,sadness
i feel very awkward,sadness
i hope you will also feel a little foolish for doing so,sadness
i feel like im damaged goods hah,sadness
i cant help feeling exhausted,sadness
i feel like im not as stubborn,anger
i could be feeling this way from the cold medicine ive been taking for this chest sinus cold,anger
i probably would have bailed at the half way mark when i was feeling quite low physically and mentally,sadness
im still feeling groggy but i got more than hours so i should be fine,sadness
i feel regretful over what happened with us,sadness
i feel so ashamed that i cant prove the women suck at knowing things about football stereotype incorrect,sadness
i left the eagles complex sunday feeling cooper will have the chance to as he told the team when the news broke last week make it right,sadness
i feel so embarrassed of myself for even having the nerve to post them all up for everyone else to read,sadness
i sneeze i have dark circles under my eyes i feel miserable really,sadness
i walk away feeling dissatisfied like i ve waited for my caffeine hit only to get a decaf,anger
i never thought id feel at peace about our tragic parting im pleased to say that today i am,sadness
i start to feel groggy as if i have been drugged,sadness
i may not be completely sure on a lot of things but i am a very opinionated person and when i have opinions on something i feel very strongly about them and i can be very stubborn when it comes to them especially when it comes to politics,anger
i hate that feeling it makes me feel so ashame and stupid,sadness
im about one fourth through this bottle and im feeling a bit disappointed,sadness
i feel that he has lost the game,sadness
i didn t even feel cranky about it,anger
i need to reflect on why i feel irritated,anger
i feel so rotten for them but there is nothing i can do to change that,sadness
i was feeling angry and jealous and deceived,anger
i know some people may cringe but when i feel something in me i have to say it and if you wanna get mad well get mad,anger
i feel we are getting into dangerous territory when we simply ignore the parts of the constitution we don t want to follow or create extra constitutional bureaucracies,anger
i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,anger
i am feeling lost for not being on a regimented strength program,sadness
i feel a bit low,sadness
i feel numb burn with a weak heart so i guess i must be having fun the less we say about it the better make it up as we go along feet on the ground head in the sky its ok i know nothings wrong,sadness
ive had a dry spell of inspiration and just this overall sense of feeling that i have lost touch with all the little things ive always loved,sadness
i know that its hard cos you might feel helpless or anything but sometimes its something that is beyond what you can do,sadness
i wish i could find a crystal ball for the days i feel completely worthless,sadness
getting a low grade on my physics midterm,anger
i will not consider homeschooling unless i feel we have exhausted every other option if i homeschool it will be temporary and my children will participate in non homeschooling activities as much as possible,sadness
i find this meeting a little scolding when anyone with less than five years of sobriety attempts to engage theres a definite feeling in the air that some horrible crime is being committed,sadness
i will not feel so alone anymore,sadness
i went to bed feeling utterly miserable last night,sadness
i know there are times where some nightmarish things may really happen to us but when dreaming bad visions just popped into our minds and have us feeling terrible,sadness
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
im feeling so ignored right now like no one ever ever cares about me when in the first place im the one trying to push everyone away,sadness
i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there,anger
i feel like screaming and if she was ugly,sadness
im feeling totally lame for not posting anything in forever and not even checking this blog in forever,sadness
i know you say you don t but there s a lot of anger that i m on the receiving end of and it s just how i feel i probably deserve to be hated too,sadness
i could put a full thought together and didnt feel so lethargic,sadness
i feel in the tragic case of the woman who was raped though hard may it be the baby should be put up for adoption if the woman cannot bear to keep him her,sadness
i couldnt help feeling shamed that we didnt take care of him sooner but who would have ever guessed,sadness
im feeling rather listless today probably because of whats going on around me,sadness
i am still feeling extremely damaged from many different events some of them seeming to repeat themselves i havent given up nor do i ever plan on,sadness
i am feeling needy needing you so needing your love by the grove,sadness
i really want to be proud to say i ve lost x amount of weight rather than feel discouraged because i m not where i want to be,sadness
i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,anger
i am just feeling too rotten to put on a happy face for the night,sadness
i am the type of person that absolutely hates to let anyone down and i feel like any time i have to tell him were broke im letting him down,sadness
im sinking back into feeling rejected and also wondering what i could have done differently,sadness
i am but all of a sudden i feel ignored and unloved and forgotten and i know its probably mostly in my head but what if it isnt,sadness
i feel like i do for every one and the only one who does for me does it with an attitude and is aggravated to be asked,anger
im in confuse and feeling so blank rite now,sadness
i woke up this morning with a cold and have been feeling groggy all morning but that didnt stop my sister and her husband from leaving me to babysit all day quite annoyed i kept it too myself and stayed in chill mode,sadness
i do give up at times when i feel there s no point in a friendship when one cant be bothered,anger
ive been feeling completely stupid about this whole thing,sadness
i still feel it is equally unimportant but in the spirit of a href http blog,sadness
i actually read it im left feeling disillusioned and all the insecurities single ladies attempt to play down on a daily basis surface without me wanting them to,sadness
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger
ive been a bad bad lazy girl i can feel my muscle aching,sadness
i read of my friends good news and have an unexplained feeling of melancholy what s up with that,sadness
i have found myself a lot lately i feel discouraged about many things in life,sadness
im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,anger
i feel more irritable and i feel more sensible now than ever,anger
i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step,sadness
i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,anger
im feeling less like a woman and more like an embarrassed girl,sadness
i am currently feeling like you know that kind of devastated desperate feelings trapped inside like somewhere between screaming and crying more of like you want to slash your wrist but you are afraid of death,sadness
i feel awkward because v has already asserted that she is doing that,sadness
i hate feeling so needy in need of approval in need of money in need of a direction in need of both physical and mental strength even in need of a particular someone in need of knowing what i lack and need,sadness
